fid,field_1,Admin1,Facility_name,Facility_type,Ownership,Latitude,Longitude,LL_source,Sub County,Ward,Level,Operating time,Total In-patient beds,General In-patient beds,Cots,Maternity beds,Emergency casualty bedsc,Intensive Care Unit beds,High Dependency Unit beds,Isolation beds,General theatres,Maternity theatres,Accident and Emergency Casualty Services,Ambulatory Services,Antenatal Care,Blood Services,Cancer Screening,Central Sterile Services Department,Curative Services,Dental services,Emergency Preparedness,Family Planning,Forensic Services,High Dependency Services,HIV/AIDs Prevention And Care Services,ICU Services,Immunisation,Inpatient Services,Integrated Immunization,Integrated Management Of Childhood Illness,Laboratory Services,Leprosy treatment,Maternity Services,Mental Health Services,Mortuary Services,Newborn Care Services,Nutrition Services,Occupational Therapy,Oncology Services,Opthalmic Services,Orthopaedic Technology Services,Pharmacy Services,Physiotherapy,Postnatal Care Services,Radiology and Imaging,Rehabilitation Services,Renal Services,Services For Gender Based Violence Survivors,Specialized In-Patient Services,Specialised Outpatient care,Theatre Services,Tuberculosis Diagnosis and Treatments,Youth Friendly Services
982,Kenya,Nairobi,Strategic Community Development Network VCT Center,Medical Clinic,Non-Governmental Organization,-1.30941,36.78181,KMHFR,Kibra,Makina,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
718,Kenya,Nairobi,Special Provision Clinic,Medical Clinic,Non-Governmental Organization,-1.27597,36.89595,KMHFR,Embakasi West,Mowlem,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A
48,Kenya,Nairobi,Eastend Doctors,Medical Center,Private Practice,-1.27257,36.84518,KMHFR,Kamukunji,Estleigh North,3,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
467,Kenya,Nairobi,Bafana Medical Centre,Medical Clinic,Private Practice,-1.26845,36.75504,KMHFR,Kangemi,Westlands,2,24 hours + Weekends,0,0,1,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
976,Kenya,Nairobi,Green Cross Medical Clinic,Medical Clinic,Private Practice,-1.31503,36.78629,KMHFR,Kibra,Laini Saba,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
231,Kenya,Nairobi,Ofafa I Clinic,Dispensary,Ministry of Health,-1.29587,36.86623,KMHFR,Makadara,Maringo/Hamza,2,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
406,Kenya,Nairobi,Whitehealth Medical Centre,Medical Clinic,Private Practice,-1.25796,36.93261,KMHFR,Matopeni/Spring Valley,Embakasi Central,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,,Yes,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
265,Kenya,Nairobi,Medipoint Clinic,Medical Clinic,Private Practice,-1.23264,36.9633,KMHFR,Mwiki,Kasarani,2,24 hours,0,0,0,0,1,0,0,0,0,0,No,No,yes,No,No,No,yes,No,No,yes,No,No,yes,No,No,No,yes,yes,yes,No,yes,No,No,No,No,No,No,No,No,yes,No,yes,No,No,No,No,No,No,No,No,No
965,Kenya,Nairobi,CFW Clinic (Kibera),Medical Clinic,Private Practice,-1.3132,36.77858,KMHFR,Kibra,Sarang'ombe,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
147,Kenya,Nairobi,Eyecenta Limited,Medical Center,Private Practice,-1.28359,36.82645,KMHFR,Starehe,Nairobi Central,3,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
90,Kenya,Nairobi,Lengo Medical Clinic,Medical Clinic,Private Practice,-1.31189,36.84676,KMHFR,Starehe,Landimawe,2,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
376,Kenya,Nairobi,Huntold Health Care,Medical Center,Private Practice,-1.24794,36.8761,KMHFR,Mathare North,Ruaraka,3,24 hours + Weekends,0,0,0,0,0,0,0,1,0,0,No,No,Yes,No,Yes,No,Yes,Yes,,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
293,Kenya,Nairobi,Monasco Medical Centre,Medical Clinic,Private Practice,-1.21285,36.88756,KMHFR,Roysambu,Roysambu,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
1075,Kenya,Nairobi,Mary Immaculate Clinic Mukuru,Dispensary,faith Based Organization,-1.31837,36.88472,KMHFR,Lang'ata,Mugumo-ini,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
833,Kenya,Nairobi,Dr Susan Wariua Medical Clinic,Medical Clinic,Private Practice,-1.29474,36.80025,KMHFR,Dagoretti North,Kilimani,2,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
399,Kenya,Nairobi,Redemeed Health Centre,Basic Health Centre,Ministry of Health,-1.24425,36.88508,KMHFR,Babadogo,Ruaraka,3,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,No,No,N/A,N/A,N/A,,N/A,N/A,,N/A,No,No,N/A,No,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,No,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,No,No,No
267,Kenya,Nairobi,Maximum Medical Center,Medical Clinic,Private Practice,-1.23067,36.92666,KMHFR,Clay city,Kasarani,2,24 hours,,,,,,,,,,,No,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
142,Kenya,Nairobi,Dr Maina Medical Clinic(Jubilee Exchange ),Medical Clinic,Private Practice,-1.27461,36.83143,KMHFR,Starehe,Ngara,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
997,Kenya,Nairobi,Avocent Healthcare Limited (South C),Medical Center,Private Practice,-1.32378,36.8438,KMHFR,Lang'ata,South C,3,24 hours,0,0,0,0,0,0,0,0,0,0,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
44,Kenya,Nairobi,Abm Specialized Hospital,Primary care hospital,Private Practice,-1.26939,36.84433,KMHFR,Kamukunji,Estleigh North,4,24 hours,60,0,0,2,1,3,4,0,2,1,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No
793,Kenya,Nairobi,Play Zuri Health Limited,Medical Clinic,Private Practice,-1.26105,36.76953,KMHFR,Dagoretti North,Kileleshwa,2,24 hours,1,0,0,0,1,0,0,0,0,0,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
215,Kenya,Nairobi,Lunga Lunga Health Centre,Basic Health Centre,Ministry of Health,-1.30669,36.86778,KMHFR,Makadara,Viwandani,3,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
507,Kenya,Nairobi,Jeystel Medical Centre,Medical Clinic,Private Practice,-1.31476,36.90171,KMHFR,Embakasi East,Embakasi,2,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
432,Kenya,Nairobi,Mwera Medical Clinic,Medical Clinic,Private Practice,-1.27555,36.91046,KMHFR,Kayole South,Embakasi Central,2,24 hours + Weekends,0,0,1,0,0,0,0,0,0,0,No,No,N/A,N/A,N/A,No,N/A,N/A,No,N/A,No,No,N/A,No,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,No,No,No,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,No,No,No,No,No
945,Kenya,Nairobi,Nuru Lutheran VCT,VCT,Faith Based Organization,-1.31163,36.7799,KMHFR,Kibra,Woodley/Kenyatta Golf Course,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
216,Kenya,Nairobi,Credible Health Centre,Medical Center,Private Practice,-1.29626,36.8766,KMHFR,Makadara,Viwandani,3,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
244,Kenya,Nairobi,Oasis Health Care Group Limited Makadara,Medical Clinic,Private Practice,-1.29479,36.85897,KMHFR,Makadara,Maringo/Hamza,2,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
206,Kenya,Nairobi,Uhuru Presitige Health Care,Medical Clinic,Private Practice,-1.28306,36.87019,KMHFR,Makadara,Harambee,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
472,Kenya,Nairobi,Accurate Children An Family Healthcare Limited,Medical Center,Private Practice,-1.27409,36.95997,KMHFR,Embakasi East,Mihango,3,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
1060,Kenya,Nairobi,Nairobi West Children Clinic,Medical Clinic,Private Practice,-1.31323,36.81907,KMHFR,Lang'ata,Nairobi West,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
50,Kenya,Nairobi,Makkah Nursing Home,Nursing Home,Private Practice,-1.27975,36.8517,KMHFR,Kamukunji,Estleigh North,3,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
996,Kenya,Nairobi,Frepals Community Nursing Home,Nursing Home,Non-Governmental Organization,-1.31166,36.79314,KMHFR,Kibra,Lindi,3,24 hours,21,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1016,Kenya,Nairobi,Melchizedek Hospital Karen,Primary Care Hospital,Private Practice,-1.3275,36.7172,KMHFR,Lang'ata,Karen,4,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,Kenya,Nairobi,Ngomongo Dispensary,Dispensary,Ministry of Health,-1.2447,36.88888,KMHFR,Korogocho,Ruaraka,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
103,Kenya,Nairobi,Health Gate Hospital,Primary Care Hospital,Private Practice,-1.27716,36.84527,KMHFR,Starehe,Pangani,4,24 hours,70,0,1,0,0,0,0,0,0,0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No
289,Kenya,Nairobi,Royal Smiles Dental Clinic -Garden City,Dental Clinic,Private Practice,-1.22969,36.87466,KMHFR,Roysambu,Roysambu,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
941,Kenya,Nairobi,Dr Gachare Medical Clinic,Medical Clinic,Private Practice,-1.29448,36.8068,KMHFR,Kibra,Woodley/Kenyatta Golf Course,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
575,Kenya,Nairobi,States View Medical Cetre,Medical Clinic,Private Practice,-1.2821,36.90411,KMHFR,Embakasi East,Lower Savannah,2,24 hours + Weekends,4,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
361,Kenya,Nairobi,"Penda Medical Centre, Lucky Summer",Medical Clinic,Private Practice,-1.23968,36.89785,KMHFR,Lucky Summer,Ruaraka,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,N/A,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No
1005,Kenya,Nairobi,Houghton Medical Centre (Next Gen South C),Medical Clinic,Private Practice,-1.3244,36.84388,KMHFR,Lang'ata,South C,2,24 hours,0,0,0,0,0,0,0,0,0,0,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
876,Kenya,Nairobi,Orient Medical Care,Medical Clinic,Private Practice,-1.28396,36.73048,KMHFR,Dagoretti South,Riruta,2,24 hours,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
948,Kenya,Nairobi,Trio Diagnostic Limited (Adams Arcade),Laboratory,Private Practice,-1.3009,36.78194,KMHFR,Kibra,Woodley/Kenyatta Golf Course,2,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
343,Kenya,Nairobi,Radiant Group Of Hospitals Kasarani Sportsview,Primary Care Hospital,Private Practice,-1.22207,36.91221,KMHFR,Clay city,Kasarani,4,24 hours + Weekends,100,0,0,0,0,0,0,0,0,0,No,No,yes,yes,yes,No,yes,yes,No,yes,No,No,yes,No,No,No,yes,yes,yes,No,yes,No,No,No,No,No,yes,yes,No,yes,No,yes,yes,No,Yes,No,No,No,No,No,No
347,Kenya,Nairobi,Horeb Medical Clinic,Medical Center,Private Practice,-1.22518,36.91965,KMHFR,Clay city,kasarani,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
159,Kenya,Nairobi,Marie Stopes Kenya Premier Clinic,Medical Clinic,Non-Governmental Organization,-1.28436,36.81893,KMHFR,Starehe,Nairobi Central,2,24 hours,0,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
339,Kenya,Nairobi,St Peter Medical Centre,Medical Center,Private Practice,-1.22207,36.91221,KMHFR,Clay city,kasarani,2,24 hours + Weekends,0,0,0,0,0,0,0,0,0,0,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
853,Kenya,Nairobi,Fremo Medical Centre Ltd (Kabiria),Medical Center,Private Practice,-1.28939,36.72285,KMHFR,Dagoretti South,Waithaka,3,24 hours,5,0,0,8,0,0,0,0,0,0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
